name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Andy Carroll,West+Ham,28,CF,1,10.0,1212,69,1.0,England,0,20,0,0,4
Muhamed Besic,Everton,24,DM,2,5.0,238,0,2.0,Germany,0,7,0,0,2
Adam Federici,Bournemouth,32,GK,4,1.0,126,8,4.0,Australia,0,2,0,0,5
Danny Simpson,Leicester+City,30,RB,3,5.0,428,85,1.0,England,0,9,0,0,4
Uwe Hunemeier,Brighton+and+Hove,31,CB,3,1.5,88,0,2.0,Germany,0,3,0,0,4
Oliver McBurnie,Swansea,21,CF,1,0.25,149,5,2.0,Scotland,0,16,0,0,1
Ragnar Klavan,Liverpool,31,CB,3,3.5,875,43,2.0,Estonia,0,10,1,1,4
Solly March,Brighton+and+Hove,23,RM,2,0.5,139,0,1.0,England,0,3,0,0,2
Christian Atsu,Newcastle+United,25,RW,1,5.0,641,0,4.0,Ghana,0,13,0,0,3
Kyle Naughton,Swansea,28,RB,3,5.0,170,82,1.0,England,0,16,0,0,4
Matthew Pennington,Everton,22,CB,3,0.5,219,9,1.0,England,0,7,0,0,2
Ander Herrera,Manchester+United,27,CM,2,30.0,1603,97,2.0,Spain,0,12,0,1,3
Jay Fulton,Swansea,23,CM,2,0.5,104,19,2.0,Scotland,0,16,0,0,2
Craig Cathcart,Watford,28,CB,3,4.0,128,31,2.0,Northern Ireland,0,18,0,0,4
Costel Pantilimon,Watford,30,GK,4,3.0,268,2,2.0,Romania,0,18,0,0,4
Modou Barrow,Swansea,24,RW,1,3.0,437,34,4.0,The Gambia,0,16,0,0,2
Jesse Lingard,Manchester+United,24,LW,1,12.0,1939,60,1.0,England,0,12,0,1,2
Allan Nyom,West+Brom,29,RB,3,4.5,236,74,4.0,Cameroon,0,19,1,0,4
Romelu Lukaku,Manchester+United,24,CF,1,50.0,3727,221,2.0,Belgium,0,12,0,1,2
Ederson Moraes,Manchester+City,23,GK,4,22.0,297,0,3.0,Brazil,1,11,0,1,2
